"time","price"
"Tue, 31 Mar 2020 14:23:02 GMT","1 USD = 17.8039 ZAR"
"Tue, 31 Mar 2020 14:28:02 GMT","1 USD = 17.8052 ZAR"
"Tue, 31 Mar 2020 14:33:02 GMT","1 USD = 17.8175 ZAR"
"Tue, 31 Mar 2020 14:38:02 GMT","1 USD = 17.8158 ZAR"
"Tue, 31 Mar 2020 14:43:02 GMT","1 USD = 17.8223 ZAR"
"Tue, 31 Mar 2020 14:48:03 GMT","1 USD = 17.8443 ZAR"
"Tue, 31 Mar 2020 14:53:02 GMT","1 USD = 17.8751 ZAR"
"Tue, 31 Mar 2020 14:58:05 GMT","1 USD = 17.7784 ZAR"
"Tue, 31 Mar 2020 15:03:03 GMT","1 USD = 17.8665 ZAR"
"Tue, 31 Mar 2020 15:08:03 GMT","1 USD = 17.833 ZAR"
"Tue, 31 Mar 2020 15:13:03 GMT","1 USD = 17.809 ZAR"
"Tue, 31 Mar 2020 15:18:03 GMT","1 USD = 17.7144 ZAR"
"Tue, 31 Mar 2020 15:23:03 GMT","1 USD = 17.7645 ZAR"
"Tue, 31 Mar 2020 15:28:02 GMT","1 USD = 17.7824 ZAR"
"Tue, 31 Mar 2020 15:33:02 GMT","1 USD = 17.7649 ZAR"
"Tue, 31 Mar 2020 15:38:03 GMT","1 USD = 17.7827 ZAR"
"Tue, 31 Mar 2020 15:43:03 GMT","1 USD = 17.7704 ZAR"
"Tue, 31 Mar 2020 15:48:02 GMT","1 USD = 17.7603 ZAR"
"Tue, 31 Mar 2020 15:53:02 GMT","1 USD = 17.784 ZAR"
"Tue, 31 Mar 2020 15:58:03 GMT","1 USD = 17.7888 ZAR"
"Tue, 31 Mar 2020 16:03:04 GMT","1 USD = 17.761 ZAR"
"Tue, 31 Mar 2020 16:08:03 GMT","1 USD = 17.79 ZAR"
"Tue, 31 Mar 2020 16:13:02 GMT","1 USD = 17.7861 ZAR"
"Tue, 31 Mar 2020 16:18:03 GMT","1 USD = 17.7724 ZAR"
"Tue, 31 Mar 2020 16:23:02 GMT","1 USD = 17.7871 ZAR"
"Tue, 31 Mar 2020 16:28:03 GMT","1 USD = 17.8206 ZAR"
"Tue, 31 Mar 2020 16:33:02 GMT","1 USD = 17.7999 ZAR"
"Tue, 31 Mar 2020 16:38:02 GMT","1 USD = 17.8078 ZAR"
"Tue, 31 Mar 2020 16:43:03 GMT","1 USD = 17.7974 ZAR"
"Tue, 31 Mar 2020 16:48:03 GMT","1 USD = 17.7997 ZAR"
"Tue, 31 Mar 2020 16:53:02 GMT","1 USD = 17.8203 ZAR"
"Tue, 31 Mar 2020 16:58:03 GMT","1 USD = 17.8041 ZAR"
"Tue, 31 Mar 2020 17:03:02 GMT","1 USD = 17.8093 ZAR"
"Tue, 31 Mar 2020 17:08:03 GMT","1 USD = 17.792 ZAR"
"Tue, 31 Mar 2020 17:13:03 GMT","1 USD = 17.799 ZAR"
"Tue, 31 Mar 2020 17:18:03 GMT","1 USD = 17.8089 ZAR"
"Tue, 31 Mar 2020 17:23:03 GMT","1 USD = 17.8472 ZAR"
"Tue, 31 Mar 2020 17:28:02 GMT","1 USD = 17.8568 ZAR"
"Tue, 31 Mar 2020 17:33:02 GMT","1 USD = 17.8591 ZAR"
"Tue, 31 Mar 2020 17:38:03 GMT","1 USD = 17.8813 ZAR"
"Tue, 31 Mar 2020 17:43:03 GMT","1 USD = 17.8803 ZAR"
"Tue, 31 Mar 2020 17:48:03 GMT","1 USD = 17.8673 ZAR"
"Tue, 31 Mar 2020 17:53:03 GMT","1 USD = 17.8839 ZAR"
"Tue, 31 Mar 2020 17:58:03 GMT","1 USD = 17.8591 ZAR"
"Tue, 31 Mar 2020 18:03:03 GMT","1 USD = 17.8706 ZAR"
"Tue, 31 Mar 2020 18:08:03 GMT","1 USD = 17.8838 ZAR"
"Tue, 31 Mar 2020 18:13:03 GMT","1 USD = 17.8354 ZAR"
"Tue, 31 Mar 2020 18:18:03 GMT","1 USD = 17.8407 ZAR"
"Tue, 31 Mar 2020 18:23:03 GMT","1 USD = 17.8344 ZAR"
"Tue, 31 Mar 2020 18:28:03 GMT","1 USD = 17.8227 ZAR"
"Tue, 31 Mar 2020 18:33:03 GMT","1 USD = 17.837 ZAR"
"Tue, 31 Mar 2020 18:38:03 GMT","1 USD = 17.8223 ZAR"
"Tue, 31 Mar 2020 18:43:04 GMT","1 USD = 17.8286 ZAR"
"Tue, 31 Mar 2020 18:48:03 GMT","1 USD = 17.814 ZAR"
"Tue, 31 Mar 2020 18:53:03 GMT","1 USD = 17.8124 ZAR"
"Tue, 31 Mar 2020 18:58:03 GMT","1 USD = 17.798 ZAR"
"Tue, 31 Mar 2020 19:03:03 GMT","1 USD = 17.8277 ZAR"
"Tue, 31 Mar 2020 19:08:03 GMT","1 USD = 17.8453 ZAR"
"Tue, 31 Mar 2020 19:13:03 GMT","1 USD = 17.8607 ZAR"
"Tue, 31 Mar 2020 19:18:03 GMT","1 USD = 17.861 ZAR"
"Tue, 31 Mar 2020 19:23:02 GMT","1 USD = 17.8883 ZAR"
"Tue, 31 Mar 2020 19:28:03 GMT","1 USD = 17.8932 ZAR"
"Tue, 31 Mar 2020 19:33:02 GMT","1 USD = 17.8914 ZAR"
"Tue, 31 Mar 2020 19:38:03 GMT","1 USD = 17.8776 ZAR"
"Tue, 31 Mar 2020 19:43:03 GMT","1 USD = 17.8858 ZAR"
"Tue, 31 Mar 2020 19:48:03 GMT","1 USD = 17.8886 ZAR"
